X;Y;REGION
353701.1;7635769.6;1
353690.7;7635768.2;1
353686;7635771.1;1
353684.3;7635777.7;1
353685.1;7635784;1
353674.9;7635792;1
353655.6;7635806.4;1
353660.4;7635820.8;1
353664.6;7635829.9;1
353665.6;7635839.2;1
353659.6;7635843;1
353651.3;7635845;1
353640.1;7635844.3;1
353602.5;7635860;1
353600;7635864.1;1
353600.7;7635875.8;1
353601.9;7635889.5;1
353604.2;7635903.4;1
353608.3;7635915.5;1
353573.1;7635961;1
353559.7;7635980.4;1
353546.2;7635999.1;1
353524.6;7636032.3;1
353517.8;7636040;1
353503.8;7636053.8;1
353489.5;7636066.5;1
353477.7;7636073.4;1
353467.8;7636078.7;1
353457.6;7636083.3;1
353448.4;7636085.9;1
353439.9;7636086.6;1
353431.5;7636085.4;1
353419.7;7636082.2;1
353408.6;7636079.3;1
353389.5;7636074.3;1
353383.1;7636072.9;1
353372.4;7636068.4;1
353364.8;7636062.2;1
353353.5;7636055.3;1
353337.1;7636042.2;1
353323.6;7636025.5;1
353316.2;7636019.6;1
353299.5;7636012.3;1
353279.9;7636004;1
353267.7;7636000.5;1
353257.7;7635996.7;1
353252.1;7635995.1;1
353237.3;7635990.7;1
353226.1;7635986.5;1
353211.9;7635984.7;1
353184.1;7635980.3;1
353173;7635981.3;1
353164.9;7635977.8;1
353140.2;7635972.9;1
353133.2;7635973.4;1
353129.2;7635974.7;1
353123.9;7635976;1
353119.8;7635976.4;1
353115.6;7635975.9;1
353111.5;7635973.7;1
353107.5;7635973.3;1
353107.3;7635973.3;1
353102.6;7635974.2;1
353097.6;7635976.6;1
353090.1;7635980.9;1
353085.9;7635981.4;1
353078.8;7635983;1
353060.4;7635988.8;1
353057.3;7635986.1;1
353052.2;7635981.3;1
353046.5;7635980.5;1
353035.7;7635976.8;1
353030.5;7635975.8;1
353025.2;7635975.9;1
353016;7635972.4;1
353006;7635971.4;1
353001.1;7635970;1
352991.6;7635962.8;1
352986.6;7635956.5;1
352973;7635953;1
352962.9;7635951.4;1
352956.6;7635948.8;1
352940.2;7635941;1
352930.5;7635935.1;1
352926.7;7635936.2;1
352922.1;7635934.5;1
352910.8;7635929;1
352905.2;7635926.4;1
352898.3;7635922;1
352871.3;7635911.8;1
352867.3;7635909;1
352860.5;7635906.6;1
352851.2;7635903;1
352844;7635900.6;1
352838.2;7635899.6;1
352834.5;7635894.1;1
352822.8;7635876.8;1
352817.9;7635865;1
352811.9;7635855.1;1
352806.5;7635857.5;1
352795.2;7635848.3;1
352793.6;7635842.9;1
352789;7635836.1;1
352785.8;7635842.1;1
352778.6;7635842.2;1
352765;7635831.9;1
352755.2;7635829.2;1
352743.1;7635825.3;1
352730.2;7635824.9;1
352720.1;7635823.8;1
352707;7635823;1
352693.5;7635812.5;1
352684.9;7635808.8;1
352672.8;7635801;1
352668.3;7635792.3;1
352662.3;7635774.4;1
352657;7635770.1;1
